Rank,Player,Club,OVERS,MAIDENS,RUNS,WICKETS,BEST BOWLING,5 WICKET HAUL,ECONOMY RATE,STRIKE RATE,AVERAGE,% BOWLED,% CAUGHT,% LBW,% STUMPED,% TEAM WICKET
84,Player_202,Club_01,21.0,1,117,8,3/4,0,5.57,15.75,14.63,50.0,50.0,0.0,0.0,12.7
85,Player_315,Club_12,22.0,5,86,8,2/2,0,3.91,16.5,10.75,75.0,25.0,0.0,0.0,12.31
86,Player_026,Club_30,22.0,1,120,8,2/16,0,5.45,16.5,15.0,75.0,25.0,0.0,0.0,20.0
87,Player_114,Club_24,22.0,3,85,8,4/3,0,3.86,16.5,10.63,87.5,12.5,0.0,0.0,15.69
88,Player_125,Club_35,22.0,3,86,8,2/3,0,3.91,16.5,10.75,50.0,50.0,0.0,0.0,13.56
89,Player_167,Club_35,23.0,3,83,8,3/3,0,3.61,17.25,10.38,62.5,25.0,0.0,12.5,12.31
90,Player_132,Club_31,24.0,0,148,8,2/18,0,6.17,18.0,18.5,50.0,50.0,0.0,0.0,15.38
91,Player_217,Club_17,24.1,1,126,8,3/1,0,5.21,18.13,15.75,87.5,12.5,0.0,0.0,22.86
92,Player_186,Club_28,24.2,1,114,8,3/9,0,4.68,18.25,14.25,62.5,37.5,0.0,0.0,17.78
93,Player_229,Club_13,25.0,6,98,8,3/16,0,3.92,18.75,12.25,75.0,12.5,12.5,0.0,11.76
94,Player_364,Club_14,25.0,2,100,8,3/9,0,4.0,18.75,12.5,62.5,37.5,0.0,0.0,10.81
95,Player_066,Club_14,25.2,0,195,8,3/7,0,7.7,19.0,24.38,75.0,25.0,0.0,0.0,12.31
96,Player_278,Club_40,28.0,4,88,8,2/14,0,3.14,21.0,11.0,62.5,37.5,0.0,0.0,14.55
97,Player_082,Club_48,28.0,3,92,8,3/1,0,3.29,21.0,11.5,37.5,62.5,0.0,0.0,9.41
98,Player_285,Club_35,28.0,1,112,8,3/8,0,4.0,21.0,14.0,62.5,25.0,12.5,0.0,11.94
99,Player_188,Club_30,28.0,5,88,8,2/2,0,3.14,21.0,11.0,87.5,0.0,0.0,0.0,17.39
100,Player_011,Club_46,29.0,5,101,8,2/9,0,3.48,21.75,12.63,87.5,12.5,0.0,0.0,10.96
101,Player_297,Club_46,29.0,3,137,8,2/0,0,4.72,21.75,17.13,50.0,37.5,0.0,0.0,10.96
102,Player_005,Club_14,30.0,3,147,8,3/13,0,4.9,22.5,18.38,50.0,50.0,0.0,0.0,8.51
103,Player_214,Club_10,30.0,3,152,8,2/27,0,5.07,22.5,19.0,75.0,25.0,0.0,0.0,13.56
104,Player_253,Club_36,31.0,8,94,8,2/0,0,3.03,23.25,11.75,87.5,12.5,0.0,0.0,7.92
105,Player_117,Club_29,31.2,5,145,8,3/11,0,4.63,23.5,18.13,100.0,0.0,0.0,0.0,8.79
106,Player_207,Club_05,14.2,5,47,7,3/5,0,3.28,12.29,6.71,28.57,42.86,0.0,14.29,16.67
107,Player_402,Club_03,15.0,2,34,7,2/0,0,2.27,12.86,4.86,57.14,42.86,0.0,0.0,14.89
108,Player_199,Club_34,15.0,0,80,7,3/6,0,5.33,12.86,11.43,57.14,42.86,0.0,0.0,15.56
109,Player_378,Club_48,15.5,2,43,7,3/13,0,2.72,13.57,6.14,57.14,28.57,0.0,0.0,11.11
110,Player_038,Club_08,16.0,4,44,7,3/2,0,2.75,13.71,6.29,85.71,0.0,14.29,0.0,11.11
111,Player_342,Club_08,16.1,0,110,7,2/5,0,6.8,13.86,15.71,42.86,42.86,14.29,0.0,13.46
112,Player_291,Club_32,16.5,2,82,7,3/1,0,4.87,14.43,11.71,71.43,28.57,0.0,0.0,9.46
113,Player_084,Club_31,17.0,2,94,7,2/11,0,5.53,14.57,13.43,85.71,14.29,0.0,0.0,15.22
114,Player_266,Club_21,18.0,0,86,7,2/7,0,4.78,15.43,12.29,28.57,71.43,0.0,0.0,13.21
115,Player_411,Club_27,18.0,4,72,7,3/6,0,4.0,15.43,10.29,85.71,0.0,0.0,0.0,16.28
116,Player_400,Club_46,19.0,0,140,7,2/28,0,7.37,16.29,20.0,57.14,42.86,0.0,0.0,11.86
117,Player_077,Club_49,19.0,2,66,7,2/4,0,3.47,16.29,9.43,100.0,0.0,0.0,0.0,13.73
118,Player_139,Club_07,20.0,3,74,7,3/7,0,3.7,17.14,10.57,57.14,28.57,0.0,14.29,11.86
119,Player_261,Club_14,20.0,0,91,7,2/3,0,4.55,17.14,13.0,28.57,71.43,0.0,0.0,10.45
120,Player_163,Club_39,21.0,2,92,7,2/0,0,4.38,18.0,13.14,57.14,14.29,14.29,14.29,11.86
121,Player_255,Club_14,21.5,3,94,7,4/9,0,4.31,18.71,13.43,85.71,14.29,0.0,0.0,10.29
122,Player_301,Club_11,22.0,4,66,7,2/10,0,3.0,18.86,9.43,57.14,42.86,0.0,0.0,12.96
123,Player_338,Club_39,22.4,1,96,7,2/0,0,4.24,19.43,13.71,71.43,14.29,0.0,14.29,10.14
124,Player_002,Club_45,23.0,3,72,7,3/13,0,3.13,19.71,10.29,42.86,0.0,0.0,0.0,10.77
125,Player_146,Club_35,23.0,2,108,7,2/1,0,4.7,19.71,15.43,57.14,42.86,0.0,0.0,11.11
126,Player_119,Club_08,24.0,3,160,7,2/27,0,6.67,20.57,22.86,28.57,71.43,0.0,0.0,10.61
127,Player_112,Club_01,24.0,3,119,7,3/3,0,4.96,20.57,17.0,57.14,42.86,0.0,0.0,10.77
128,Player_311,Club_33,24.0,7,75,7,2/10,0,3.13,20.57,10.71,57.14,42.86,0.0,0.0,13.46
129,Player_287,Club_36,26.3,2,126,7,2/0,0,4.75,22.71,18.0,42.86,42.86,14.29,0.0,7.61
130,Player_144,Club_36,27.0,4,113,7,3/6,0,4.19,23.14,16.14,57.14,28.57,0.0,14.29,7.45
131,Player_232,Club_32,27.0,2,109,7,2/5,0,4.04,23.14,15.57,85.71,0.0,14.29,0.0,7.07
132,Player_256,Club_10,28.0,2,135,7,2/7,0,4.82,24.0,19.29,57.14,42.86,0.0,0.0,10.14
133,Player_206,Club_08,28.0,0,142,7,1/4,0,5.07,24.0,20.29,71.43,28.57,0.0,0.0,10.45
134,Player_183,Club_31,29.0,3,103,7,2/14,0,3.55,24.86,14.71,100.0,0.0,0.0,0.0,13.46
135,Player_273,Club_48,30.0,5,96,7,2/2,0,3.2,25.71,13.71,85.71,14.29,0.0,0.0,6.67
136,Player_034,Club_32,33.0,5,121,7,3/3,0,3.67,28.29,17.29,85.71,14.29,0.0,0.0,6.73
137,Player_307,Club_22,35.0,8,107,7,2/2,0,3.06,30.0,15.29,100.0,0.0,0.0,0.0,7.69
138,Player_386,Club_07,8.0,2,21,6,3/1,0,2.63,8.0,3.5,83.33,16.67,0.0,0.0,40.0
139,Player_022,Club_30,9.0,2,38,6,3/3,0,4.22,9.0,6.33,66.67,33.33,0.0,0.0,22.22
140,Player_107,Club_38,12.0,2,48,6,2/4,0,4.0,12.0,8.0,50.0,50.0,0.0,0.0,17.65
141,Player_085,Club_14,12.1,1,89,6,3/3,0,7.32,12.17,14.83,50.0,50.0,0.0,0.0,26.09
142,Player_031,Club_13,13.0,1,64,6,2/11,0,4.92,13.0,10.67,50.0,50.0,0.0,0.0,10.71
143,Player_065,Club_49,14.0,3,58,6,2/0,0,4.14,14.0,9.67,66.67,33.33,0.0,0.0,13.04
144,Player_320,Club_08,14.0,3,45,6,3/10,0,3.21,14.0,7.5,100.0,0.0,0.0,0.0,12.77
145,Player_078,Club_14,14.1,0,78,6,2/3,0,5.51,14.17,13.0,83.33,16.67,0.0,0.0,16.67
