Rank,Player,Club,GAMES,INNS,NOT OUTS,RUNS,HIGH SCORE,AVG,50s,100s,STRIKE RATE,4s,6s,DUCKS,BOWLED,CAUGHT,LBW,STUMPED,RUN OUT,DID NOT BAT(%),GAMES WON(%),GAMES LOST(%),GAMES DRAWN(%),TEAM RUNS(%)
87,Player_135,Club_29,12,11,4,140,32,20.0,0,0,76.09,20,0,2,5,1,0,0,1,1(8.33%),6(50.00%),6(50.00%),0(0.00%),11.62
88,Player_249,Club_14,15,15,3,140,32,11.67,0,0,57.14,16,0,3,6,6,0,0,0,0(0.00%),6(40.00%),9(60.00%),0(0.00%),12.77
89,Player_252,Club_27,10,10,2,140,30,17.5,0,0,62.1,37,0,2,5,2,1,0,0,0(0.00%),3(30.00%),7(70.00%),0(0.00%),15.01
90,Player_126,Club_29,9,9,3,139,33,23.17,0,0,75.96,25,0,1,2,3,0,0,1,0(0.00%),6(66.67%),3(33.33%),0(0.00%),13.61
91,Player_053,Club_36,18,11,7,137,32,34.25,0,0,77.4,13,0,1,1,1,0,1,1,7(38.89%),16(88.89%),2(11.11%),0(0.00%),6.82
92,Player_402,Club_03,8,7,5,136,30,68.0,0,0,67.31,4,0,0,1,1,0,0,0,1(12.50%),5(62.50%),3(37.50%),0(0.00%),14.5
93,Player_167,Club_35,11,11,2,136,32,15.11,0,0,78.61,12,0,2,2,4,0,0,2,0(0.00%),6(54.55%),5(45.45%),0(0.00%),14.45
94,Player_082,Club_48,12,9,5,134,30,33.5,0,0,80.22,20,0,1,1,1,1,0,1,3(25.00%),11(91.67%),1(8.33%),0(0.00%),10.79
95,Player_109,Club_42,9,9,2,134,33,19.14,0,0,86.45,21,1,1,3,3,0,0,1,0(0.00%),5(55.56%),4(44.44%),0(0.00%),12.38
96,Player_217,Club_17,10,10,1,133,30,14.78,0,0,55,1,0,1,7,1,0,0,1,0(0.00%),1(10.00%),9(90.00%),0(0.00%),21.95
97,Player_003,Club_02,12,12,3,132,32,14.67,0,0,55.23,19,0,2,7,1,0,0,1,0(0.00%),0(0.00%),12(100.00%),0(0.00%),15.81
98,Player_356,Club_14,13,9,2,132,31,18.86,0,0,63.74,15,1,0,6,1,0,0,0,4(30.77%),8(61.54%),5(38.46%),0(0.00%),9.7
99,Player_119,Club_08,11,11,1,132,30,13.2,0,0,69.11,16,3,2,7,2,1,0,0,0(0.00%),5(45.45%),5(45.45%),0(0.00%),12.45
100,Player_311,Club_33,10,10,2,130,32,16.25,0,0,81.82,6,0,0,7,1,0,0,0,0(0.00%),6(60.00%),4(40.00%),0(0.00%),12.85
